Case_ID,Scope,Tier,Stage,Member_ID,Geo,Status,Pre_Max,Contributors_N,Required_N
FP001,REG_ISAN20,T1,A_MEMBER_GEO,FP001,TH-37,NO_SIGNAL,0.0000000000,1,1
FP001,REG_ISAN20,T1,A_MEMBER_GEO,FP001,TH-38,NO_SIGNAL,0.0000000000,1,1
FP001,REG_ISAN20,T1,A_MEMBER_GEO,FP001,TH-39,NO_SIGNAL,0.0000000000,1,1
FP001,REG_ISAN20,T1,A_MEMBER_GEO,FP001,TH-40,OK,100.0000000000,1,1
FP001,REG_ISAN20,T1,A_MEMBER_GEO,FP001,TH-41,OK,100.0000000000,1,1
FP001,REG_ISAN20,T1,A_MEMBER_GEO,FP001,TH-42,OK,100.0000000000,1,1
FP001,REG_ISAN20,T1,A_MEMBER_GEO,FP001,TH-43,NO_SIGNAL,0.0000000000,1,1
FP001,REG_ISAN20,T1,A_MEMBER_GEO,FP001,TH-44,OK,100.0000000000,1,1
FP001,REG_ISAN20,T1,A_MEMBER_GEO,FP001,TH-45,OK,100.0000000000,1,1
FP001,REG_ISAN20,T1,A_MEMBER_GEO,FP001,TH-46,OK,100.0000000000,1,1
FP001,REG_ISAN20,T1,A_MEMBER_GEO,FP001,TH-47,OK,100.0000000000,1,1
FP001,REG_ISAN20,T1,A_MEMBER_GEO,FP001,TH-48,NO_SIGNAL,0.0000000000,1,1
FP001,REG_ISAN20,T1,A_MEMBER_GEO,FP001,TH-49,NO_SIGNAL,0.0000000000,1,1
FP001,REG_ISAN20,T1,C_SCOPE,,TH-30+TH-31+TH-32+TH-33+TH-34+TH-35+TH-36+TH-37+TH-38+TH-39+TH-40+TH-41+TH-42+TH-43+TH-44+TH-45+TH-46+TH-47+TH-48+TH-49,OK,22.8500000000,14,20
FP001,REG_ISAN20,T1,D_POST_SA,,REG_ISAN20,OK,99.7352428088,1,1
FP002,REG_ISAN20,T1,A_MEMBER_GEO,FP002,TH-30,OK,100.0000000000,1,1
FP002,REG_ISAN20,T1,A_MEMBER_GEO,FP002,TH-31,OK,100.0000000000,1,1
FP002,REG_ISAN20,T1,A_MEMBER_GEO,FP002,TH-32,OK,100.0000000000,1,1
FP002,REG_ISAN20,T1,A_MEMBER_GEO,FP002,TH-33,OK,100.0000000000,1,1
FP002,REG_ISAN20,T1,A_MEMBER_GEO,FP002,TH-34,OK,100.0000000000,1,1
FP002,REG_ISAN20,T1,A_MEMBER_GEO,FP002,TH-35,OK,100.0000000000,1,1
FP002,REG_ISAN20,T1,A_MEMBER_GEO,FP002,TH-36,OK,100.0000000000,1,1
FP002,REG_ISAN20,T1,A_MEMBER_GEO,FP002,TH-37,NO_SIGNAL,0.0000000000,1,1
FP002,REG_ISAN20,T1,A_MEMBER_GEO,FP002,TH-38,OK,100.0000000000,1,1
FP002,REG_ISAN20,T1,A_MEMBER_GEO,FP002,TH-39,NO_SIGNAL,0.0000000000,1,1
FP002,REG_ISAN20,T1,A_MEMBER_GEO,FP002,TH-40,OK,100.0000000000,1,1
FP002,REG_ISAN20,T1,A_MEMBER_GEO,FP002,TH-41,OK,100.0000000000,1,1
FP002,REG_ISAN20,T1,A_MEMBER_GEO,FP002,TH-42,OK,100.0000000000,1,1
FP002,REG_ISAN20,T1,A_MEMBER_GEO,FP002,TH-43,NO_SIGNAL,0.0000000000,1,1
FP002,REG_ISAN20,T1,A_MEMBER_GEO,FP002,TH-44,OK,100.0000000000,1,1
FP002,REG_ISAN20,T1,A_MEMBER_GEO,FP002,TH-45,OK,100.0000000000,1,1
FP002,REG_ISAN20,T1,A_MEMBER_GEO,FP002,TH-46,OK,100.0000000000,1,1
FP002,REG_ISAN20,T1,A_MEMBER_GEO,FP002,TH-47,NO_SIGNAL,0.0000000000,1,1
FP002,REG_ISAN20,T1,A_MEMBER_GEO,FP002,TH-48,NO_SIGNAL,0.0000000000,1,1
FP002,REG_ISAN20,T1,A_MEMBER_GEO,FP002,TH-49,NO_SIGNAL,0.0000000000,1,1
FP002,REG_ISAN20,T1,C_SCOPE,,TH-30+TH-31+TH-32+TH-33+TH-34+TH-35+TH-36+TH-37+TH-38+TH-39+TH-40+TH-41+TH-42+TH-43+TH-44+TH-45+TH-46+TH-47+TH-48+TH-49,OK,39.9500000000,14,20
FP002,REG_ISAN20,T1,D_POST_SA,,REG_ISAN20,OK,99.2599101564,1,1
FP003,REG_ISAN20,T1,C_SCOPE,,TH-30+TH-31+TH-32+TH-33+TH-34+TH-35+TH-36+TH-37+TH-38+TH-39+TH-40+TH-41+TH-42+TH-43+TH-44+TH-45+TH-46+TH-47+TH-48+TH-49,NO_SIGNAL,0.0000000000,0,20
FP003,REG_ISAN20,T1,D_POST_SA,,REG_ISAN20,NO_SIGNAL,0.0000000000,0,1
FP004,REG_ISAN20,T1,C_SCOPE,,TH-30+TH-31+TH-32+TH-33+TH-34+TH-35+TH-36+TH-37+TH-38+TH-39+TH-40+TH-41+TH-42+TH-43+TH-44+TH-45+TH-46+TH-47+TH-48+TH-49,NO_SIGNAL,0.0000000000,0,20
FP004,REG_ISAN20,T1,D_POST_SA,,REG_ISAN20,NO_SIGNAL,0.0000000000,0,1
FP005,REG_ISAN20,T1,C_SCOPE,,TH-30+TH-31+TH-32+TH-33+TH-34+TH-35+TH-36+TH-37+TH-38+TH-39+TH-40+TH-41+TH-42+TH-43+TH-44+TH-45+TH-46+TH-47+TH-48+TH-49,NO_SIGNAL,0.0000000000,0,20
FP005,REG_ISAN20,T1,D_POST_SA,,REG_ISAN20,NO_SIGNAL,0.0000000000,0,1
FP006,REG_ISAN20,T1,C_SCOPE,,TH-30+TH-31+TH-32+TH-33+TH-34+TH-35+TH-36+TH-37+TH-38+TH-39+TH-40+TH-41+TH-42+TH-43+TH-44+TH-45+TH-46+TH-47+TH-48+TH-49,NO_SIGNAL,0.0000000000,0,20
FP006,REG_ISAN20,T1,D_POST_SA,,REG_ISAN20,NO_SIGNAL,0.0000000000,0,1
