Case_ID,Scope,Method,M1,M2,M3,M4,M5,M6,M7,M8,M9,M10,M11,Q_Without_M2,Q_With_M2,F_Stable_B1,F_Stable_B1_PValue,F_Stable_D8,F_Stable_D8_PValue,F_Moving_D8,F_Moving_D8_PValue,Kruskal_Wallis_Chi,Kruskal_Wallis_PValue,Accept_Status
TU004,REG_ISAN20,X13,3.0000000000,3.0000000000,0.1850000000,3.0000000000,3.0000000000,0.4930000000,2.4300000000,2.6510000000,0.9870000000,3.0000000000,3.0000000000,2.1000000000,,0.9960000000,0.4541000000,1.0600000000,0.3981000000,1.8380000000,0.0547000000,4.4230000000,0.9559000000,REJECTED
TU005,REG_ISAN20,X13,3.0000000000,3.0000000000,0.8050000000,1.7580000000,3.0000000000,0.9490000000,3.0000000000,2.4730000000,0.7770000000,2.6120000000,2.1750000000,2.1400000000,,0.5460000000,0.8684000000,0.5170000000,0.8894000000,3.7540000000,0.0001000000,8.5330000000,0.6649000000,REJECTED
NP001,REG_ISAN20,NO_SIGNAL,,,,,,,,,,,,,,,,,,,,,,
NP002,REG_ISAN20,X13,3.0000000000,0.6870000000,0.7240000000,0.7790000000,1.0090000000,0.3770000000,2.4800000000,2.1650000000,0.6450000000,2.4020000000,1.6090000000,1.5600000000,,1.7330000000,0.0733000000,2.1220000000,0.0224000000,8.4490000000,0.0000000000,28.3540000000,0.0029000000,REJECTED
NP003,REG_ISAN20,X13,2.6970000000,1.2160000000,0.5750000000,1.3060000000,0.7330000000,0.0480000000,2.3580000000,1.6950000000,0.7420000000,2.0580000000,1.4200000000,1.4100000000,,2.5470000000,0.0061000000,3.2940000000,0.0005000000,15.5230000000,0.0000000000,33.0330000000,0.0005000000,REJECTED
NP004,REG_ISAN20,NO_SIGNAL,,,,,,,,,,,,,,,,,,,,,,
NU001,REG_ISAN20,NO_SIGNAL,,,,,,,,,,,,,,,,,,,,,,
NU002,REG_ISAN20,X13,3.0000000000,3.0000000000,2.4520000000,1.3060000000,3.0000000000,0.5360000000,2.7150000000,2.0020000000,1.3220000000,2.8220000000,2.8220000000,2.4400000000,,1.0020000000,0.4487000000,1.2180000000,0.2806000000,4.6320000000,0.0000000000,21.6800000000,0.0270000000,REJECTED
NU003,REG_ISAN20,NO_SIGNAL,,,,,,,,,,,,,,,,,,,,,,
NU004,REG_ISAN20,NO_SIGNAL,,,,,,,,,,,,,,,,,,,,,,
