Month,Scope,Case_ID,Tier,Case_Type,Segment,Factor,Case_Name_TH,Input_Rebased,SA,SA_Floored,SA_Rebased,MA3_Centered
2018-06,TH,FP001,T1,keyword,Formal,Pull,สินเชื่อส่วนบุคคล,75.8620689655,67.4714233539,67.4714233539,72.9930318780,73.1304335217
2018-07,TH,FP001,T1,keyword,Formal,Pull,สินเชื่อส่วนบุคคล,63.2183908046,62.6707680087,62.6707680087,67.7995088837,74.0251217796
2018-08,TH,FP001,T1,keyword,Formal,Pull,สินเชื่อส่วนบุคคล,75.8620689655,75.1341289347,75.1341289347,81.2828245773,77.3404472566
2018-09,TH,FP001,T1,keyword,Formal,Pull,สินเชื่อส่วนบุคคล,78.1609195402,76.6650294993,76.6650294993,82.9390083090,86.7693639349
2018-10,TH,FP001,T1,keyword,Formal,Pull,สินเชื่อส่วนบุคคล,86.2068965517,88.8177472175,88.8177472175,96.0862589184,86.0932514378
2018-11,TH,FP001,T1,keyword,Formal,Pull,สินเชื่อส่วนบุคคล,72.4137931034,73.2592264397,73.2592264397,79.2544870859,85.1512578379
2018-12,TH,FP001,T1,keyword,Formal,Pull,สินเชื่อส่วนบุคคล,62.0689655172,74.0528219772,74.0528219772,80.1130275092,79.3056092901
2019-01,TH,FP001,T1,keyword,Formal,Pull,สินเชื่อส่วนบุคคล,68.9655172414,72.6073959910,72.6073959910,78.5493132752,80.1788940677
2019-02,TH,FP001,T1,keyword,Formal,Pull,สินเชื่อส่วนบุคคล,73.5632183908,75.6809000743,75.6809000743,81.8743414187,81.9131841347
2019-03,TH,FP001,T1,keyword,Formal,Pull,สินเชื่อส่วนบุคคล,82.7586206897,78.8621174531,78.8621174531,85.3158977102,84.7161898392
2019-04,TH,FP001,T1,keyword,Formal,Pull,สินเชื่อส่วนบุคคล,79.3103448276,80.3803071725,80.3803071725,86.9583303887,89.1181908611
2019-05,TH,FP001,T1,keyword,Formal,Pull,สินเชื่อส่วนบุคคล,95.4022988506,87.8879258785,87.8879258785,95.0803444843,93.5078774449
2019-06,TH,FP001,T1,keyword,Formal,Pull,สินเชื่อส่วนบุคคล,100.0000000000,91.0349945458,91.0349945458,98.4849574618,96.5415137191
2019-07,TH,FP001,T1,keyword,Formal,Pull,สินเชื่อส่วนบุคคล,89.6551724138,88.7927714346,88.7927714346,96.0592392111,94.6523498050
2019-08,TH,FP001,T1,keyword,Formal,Pull,สินเชื่อส่วนบุคคล,81.6091954023,82.6491554801,82.6491554801,89.4128527422,91.9908497468
2019-09,TH,FP001,T1,keyword,Formal,Pull,สินเชื่อส่วนบุคคล,85.0574712644,83.6544874248,83.6544874248,90.5004572870,88.6007424227
2019-10,TH,FP001,T1,keyword,Formal,Pull,สินเชื่อส่วนบุคคล,77.0114942529,79.3917905222,79.3917905222,85.8889172389,86.0248883557
2019-11,TH,FP001,T1,keyword,Formal,Pull,สินเชื่อส่วนบุคคล,74.7126436782,75.5061500816,75.5061500816,81.6852905412,76.4998632444
2019-12,TH,FP001,T1,keyword,Formal,Pull,สินเชื่อส่วนบุคคล,45.9770114943,57.2409934842,57.2409934842,61.9253819532,73.4142004439
2020-01,TH,FP001,T1,keyword,Formal,Pull,สินเชื่อส่วนบุคคล,66.6666666667,70.8350534288,70.8350534288,76.6319288373,77.4951543387
2020-02,TH,FP001,T1,keyword,Formal,Pull,สินเชื่อส่วนบุคคล,85.0574712644,86.8228920023,86.8228920023,93.9281522256,82.6833693130
2020-03,TH,FP001,T1,keyword,Formal,Pull,สินเชื่อส่วนบุคคล,74.7126436782,71.6282400461,71.6282400461,77.4900268759,81.3569466641
2020-04,TH,FP001,T1,keyword,Formal,Pull,สินเชื่อส่วนบุคคล,66.6666666667,67.1567999659,67.1567999659,72.6526608906,70.4329667059
2020-05,TH,FP001,T1,keyword,Formal,Pull,สินเชื่อส่วนบุคคล,64.3678160920,56.5300082502,56.5300082502,61.1562123512,66.1346288186
2020-06,TH,FP001,T1,keyword,Formal,Pull,สินเชื่อส่วนบุคคล,68.9655172414,59.7086786366,59.7086786366,64.5950132140,64.4206139413
2020-07,TH,FP001,T1,keyword,Formal,Pull,สินเชื่อส่วนบุคคล,63.2183908046,62.4037288667,62.4037288667,67.5106162587,67.0364164149
2020-08,TH,FP001,T1,keyword,Formal,Pull,สินเชื่อส่วนบุคคล,62.0689655172,63.7837930936,63.7837930936,69.0036197719,69.6345759571
2020-09,TH,FP001,T1,keyword,Formal,Pull,สินเชื่อส่วนบุคคล,67.8160919540,66.9135385212,66.9135385212,72.3894918405,72.1278072909
2020-10,TH,FP001,T1,keyword,Formal,Pull,สินเชื่อส่วนบุคคล,67.8160919540,69.3176162277,69.3176162277,74.9903102603,80.2028543957
2020-11,TH,FP001,T1,keyword,Formal,Pull,สินเชื่อส่วนบุคคล,85.0574712644,86.1764067907,86.1764067907,93.2287610862,83.8093800594
2020-12,TH,FP001,T1,keyword,Formal,Pull,สินเชื่อส่วนบุคคล,66.6666666667,76.9146611066,76.9146611066,83.2090688318,86.7319071061
2021-01,TH,FP001,T1,keyword,Formal,Pull,สินเชื่อส่วนบุคคล,72.4137931034,77.4219676112,77.4219676112,83.7578914003,82.8746643208
2021-02,TH,FP001,T1,keyword,Formal,Pull,สินเชื่อส่วนบุคคล,73.5632183908,75.4800298522,75.4800298522,81.6570327301,77.8330975526
2021-03,TH,FP001,T1,keyword,Formal,Pull,สินเชื่อส่วนบุคคล,65.5172413793,62.9340792472,62.9340792472,68.0843685275,71.8149490693
2021-04,TH,FP001,T1,keyword,Formal,Pull,สินเชื่อส่วนบุคคล,60.9195402299,60.7332632097,60.7332632097,65.7034459503,70.7812847342
2021-05,TH,FP001,T1,keyword,Formal,Pull,สินเชื่อส่วนบุคคล,80.4597701149,72.6136136137,72.6136136137,78.5560397249,75.9230519543
2021-06,TH,FP001,T1,keyword,Formal,Pull,สินเชื่อส่วนบุคคล,86.2068965517,77.1925232643,77.1925232643,83.5096701877,81.5986589106
2021-07,TH,FP001,T1,keyword,Formal,Pull,สินเชื่อส่วนบุคคล,77.0114942529,76.4720784043,76.4720784043,82.7302668192,79.4874970030
2021-08,TH,FP001,T1,keyword,Formal,Pull,สินเชื่อส่วนบุคคล,65.5172413793,66.7592288114,66.7592288114,72.2225540022,75.5935583764
2021-09,TH,FP001,T1,keyword,Formal,Pull,สินเชื่อส่วนบุคคล,66.6666666667,66.3943864492,66.3943864492,71.8278543079,73.6256743733
2021-10,TH,FP001,T1,keyword,Formal,Pull,สินเชื่อส่วนบุคคล,70.1149425287,71.0150122458,71.0150122458,76.8266148097,74.3396754923
2021-11,TH,FP001,T1,keyword,Formal,Pull,สินเชื่อส่วนบุคคล,67.8160919540,68.7391988389,68.7391988389,74.3645573594,77.7317799885
2021-12,TH,FP001,T1,keyword,Formal,Pull,สินเชื่อส่วนบุคคล,66.6666666667,75.8009056456,75.8009056456,82.0041677963,79.3056626734
2022-01,TH,FP001,T1,keyword,Formal,Pull,สินเชื่อส่วนบุคคล,70.1149425287,75.3794879586,75.3794879586,81.5482628646,81.8605796206
2022-02,TH,FP001,T1,keyword,Formal,Pull,สินเชื่อส่วนบุคคล,73.5632183908,75.8241442867,75.8241442867,82.0293082008,83.9404754150
2022-03,TH,FP001,T1,keyword,Formal,Pull,สินเชื่อส่วนบุคคล,82.7586206897,81.5685875491,81.5685875491,88.2438551798,89.0139578126
2022-04,TH,FP001,T1,keyword,Formal,Pull,สินเชื่อส่วนบุคคล,89.6551724138,89.4485738665,89.4485738665,96.7687100571,89.6432909513
2022-05,TH,FP001,T1,keyword,Formal,Pull,สินเชื่อส่วนบุคคล,85.0574712644,77.5693246776,77.5693246776,83.9173076170,86.4730143113
2022-06,TH,FP001,T1,keyword,Formal,Pull,สินเชื่อส่วนบุคคล,81.6091954023,72.7772109551,72.7772109551,78.7330252598,79.1325202249
2022-07,TH,FP001,T1,keyword,Formal,Pull,สินเชื่อส่วนบุคคล,70.1149425287,69.0929219068,69.0929219068,74.7472277979,77.7900247419
2022-08,TH,FP001,T1,keyword,Formal,Pull,สินเชื่อส่วนบุคคล,73.5632183908,73.8465002345,73.8465002345,79.8898211681,78.9609684200
